cylinders,displacement,horsepower,weight,acceleration,model year,origin,mpg
4,97.0,88.0,2130.0,14.5,71,3,27.0
8,351.0,138.0,3955.0,13.2,79,1,16.5
8,260.0,110.0,3365.0,15.5,78,1,19.9
6,231.0,110.0,3907.0,21.0,75,1,17.0
6,225.0,95.0,3785.0,19.0,75,1,18.0
6,225.0,85.0,3465.0,16.6,81,1,17.6
8,302.0,140.0,3449.0,10.5,70,1,17.0
6,250.0,72.0,3432.0,21.0,75,1,15.0
4,98.0,79.0,2255.0,17.7,76,1,26.0
4,120.0,88.0,2160.0,14.5,82,3,36.0
8,350.0,160.0,4456.0,13.5,72,1,12.0
4,91.0,69.0,2130.0,14.7,79,2,37.3
4,97.0,54.0,2254.0,23.5,72,2,23.0
8,302.0,140.0,4638.0,16.0,74,1,14.0
6,232.0,100.0,2945.0,16.0,73,1,18.0
4,85.0,70.0,1945.0,16.8,77,3,33.5
6,200.0,81.0,3012.0,17.6,76,1,24.0
6,250.0,105.0,3897.0,18.5,75,1,16.0
4,122.0,86.0,2226.0,16.5,72,1,21.0
8,350.0,170.0,4165.0,11.4,77,1,15.5
6,258.0,110.0,2962.0,13.5,71,1,18.0
4,97.0,52.0,2130.0,24.6,82,2,44.0
4,91.0,53.0,1795.0,17.4,76,3,33.0
4,140.0,72.0,2401.0,19.5,73,1,21.0
6,232.0,100.0,2914.0,16.0,75,1,20.0
4,72.0,69.0,1613.0,18.0,71,3,35.0
8,318.0,150.0,4457.0,13.5,74,1,14.0
4,140.0,88.0,2720.0,15.4,78,1,25.1
6,173.0,110.0,2725.0,12.6,81,1,23.5
4,121.0,80.0,2670.0,15.0,79,1,27.4
6,225.0,100.0,3630.0,17.7,77,1,19.0
8,305.0,145.0,3880.0,12.5,77,1,17.5
6,250.0,110.0,3520.0,16.4,77,1,17.5
4,91.0,67.0,1965.0,15.7,82,3,32.0
4,140.0,72.0,2408.0,19.0,71,1,22.0
8,307.0,130.0,3504.0,12.0,70,1,18.0
8,400.0,180.0,4220.0,11.1,77,1,16.0
4,97.0,78.0,1940.0,14.5,77,2,29.0
4,96.0,69.0,2189.0,18.0,72,2,26.0
6,168.0,116.0,2900.0,12.6,81,3,25.4
8,260.0,90.0,3420.0,22.2,79,1,23.9
8,350.0,105.0,3725.0,19.0,81,1,26.6
6,168.0,132.0,2910.0,11.4,80,3,32.7
8,302.0,139.0,3570.0,12.8,78,1,20.2
6,225.0,105.0,3613.0,16.5,74,1,18.0
4,122.0,86.0,2220.0,14.0,71,1,23.0
8,350.0,145.0,4082.0,13.0,73,1,15.0
4,151.0,90.0,2556.0,13.2,79,1,33.5
6,232.0,100.0,2634.0,13.0,71,1,19.0
8,400.0,175.0,4385.0,12.0,72,1,14.0
3,70.0,97.0,2330.0,13.5,72,3,19.0
8,454.0,220.0,4354.0,9.0,70,1,14.0
4,108.0,93.0,2391.0,15.5,74,3,26.0
4,151.0,90.0,2735.0,18.0,82,1,27.0
4,134.0,95.0,2560.0,14.2,78,3,27.5
4,151.0,85.0,2855.0,17.6,78,1,23.8
6,250.0,100.0,3282.0,15.0,71,1,19.0
8,304.0,193.0,4732.0,18.5,70,1,9.0
6,200.0,85.0,2587.0,16.0,70,1,21.0
