normalized-losses,wheel-base,length,width,height,curb-weight,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
161.0,107.9,186.7,68.4,56.7,3075,3.46,2.19,8.4,95.0,5000.0,19,24,15.58
161.0,107.9,186.7,68.4,56.7,3252,3.7,3.52,21.0,95.0,4150.0,28,33,17.95
154.0,93.7,157.3,63.8,50.6,1967,2.97,3.23,9.4,68.0,5500.0,31,38,6.229
85.0,96.9,173.6,65.4,54.9,2650,3.62,2.64,7.7,111.0,4800.0,23,23,11.694
85.0,96.5,175.4,65.2,54.1,2304,3.15,3.58,9.0,86.0,5800.0,27,33,8.845
87.0,95.7,158.7,63.6,54.5,2040,3.05,3.03,9.0,62.0,4800.0,31,38,6.337999999999999
103.0,104.3,188.8,67.2,56.2,2935,3.78,3.15,9.5,114.0,5400.0,24,28,15.985
81.0,94.5,158.8,63.6,52.0,1909,3.03,3.11,9.6,70.0,5400.0,38,43,6.575
168.0,94.5,168.7,64.0,52.6,2204,3.19,3.03,9.0,70.0,4800.0,29,34,8.238
85.0,96.5,175.4,65.2,54.1,2465,3.15,3.58,9.0,101.0,5800.0,24,28,12.945
102.0,97.0,172.0,65.4,54.3,2510,3.62,2.64,7.7,111.0,4800.0,24,29,11.259
87.0,95.7,158.7,63.6,54.5,1985,3.05,3.03,9.0,62.0,4800.0,35,39,5.348
106.0,96.5,167.5,65.2,53.3,2289,3.15,3.58,9.0,86.0,5800.0,27,33,9.095
192.0,101.2,176.8,64.8,54.3,2395,3.5,2.8,8.8,101.0,5800.0,23,29,16.925
150.0,99.1,186.6,66.5,56.1,2707,2.54,2.07,9.3,110.0,5250.0,21,28,15.04
122.0,94.5,165.3,63.8,54.5,1938,3.15,3.29,9.4,69.0,5200.0,31,37,6.849
65.0,102.4,175.6,66.5,53.9,2414,3.31,3.54,8.7,92.0,4200.0,27,32,9.988
91.0,95.7,166.3,64.4,52.8,2122,3.19,3.03,9.0,70.0,4800.0,28,34,8.357999999999999
129.0,98.8,177.8,66.5,53.7,2385,3.39,3.39,8.6,84.0,4800.0,26,32,10.595
74.0,95.7,158.7,63.6,54.5,2015,3.05,3.03,9.0,62.0,4800.0,31,38,6.4879999999999995
95.0,109.1,188.8,68.9,55.5,2952,3.78,3.15,9.5,114.0,5400.0,23,28,16.845
128.0,94.5,165.3,63.8,54.5,1889,3.15,3.29,9.4,69.0,5200.0,31,37,5.499
197.0,102.9,183.5,67.7,52.0,2976,3.27,3.35,9.3,161.0,5200.0,20,24,16.558
129.0,98.8,177.8,66.5,53.7,2385,3.39,3.39,8.6,84.0,4800.0,26,32,8.845
113.0,93.1,166.8,64.2,54.1,1945,3.03,3.15,9.0,68.0,5000.0,31,38,6.695
121.0,88.4,141.1,60.3,53.2,1488,2.91,3.03,9.5,48.0,5100.0,47,53,5.151
134.0,98.4,176.2,65.6,52.0,2714,3.62,3.5,9.3,116.0,4800.0,24,30,11.549000000000001
153.0,96.3,173.0,65.4,49.4,2328,3.35,3.46,8.5,88.0,5000.0,25,32,8.499
91.0,95.7,166.3,64.4,53.0,2081,3.19,3.03,9.0,70.0,4800.0,30,37,6.938
102.0,97.2,172.0,65.4,52.5,2340,3.62,2.64,9.0,94.0,5200.0,26,32,9.96
78.0,96.5,157.1,63.9,58.3,2024,2.92,3.41,9.2,76.0,6000.0,30,34,7.295
90.0,104.5,187.8,66.5,54.1,3131,3.27,3.35,9.2,156.0,5200.0,20,24,15.69
137.0,86.6,144.6,63.9,50.8,1819,2.91,3.41,9.2,76.0,6000.0,31,38,6.855
103.0,94.5,170.2,63.8,53.5,2037,3.15,3.29,9.4,69.0,5200.0,31,37,7.999
128.0,94.5,165.3,63.8,54.5,1918,3.15,3.29,9.4,69.0,5200.0,31,37,6.649
168.0,94.5,168.7,64.0,52.6,2265,3.24,3.08,9.4,112.0,6600.0,26,29,9.298
104.0,99.1,186.6,66.5,56.1,2847,3.54,3.07,9.0,160.0,5500.0,19,26,18.62
150.0,99.1,186.6,66.5,56.1,2808,3.54,3.07,9.0,160.0,5500.0,19,26,18.15
118.0,104.9,175.0,66.1,54.4,2670,3.76,3.16,8.0,120.0,5000.0,19,27,18.28
161.0,93.7,157.3,64.4,50.8,1918,2.97,3.23,9.4,68.0,5500.0,37,41,5.388999999999999
192.0,101.2,176.8,64.8,54.3,2395,3.5,2.8,8.8,101.0,5800.0,23,29,16.43
103.0,94.5,170.2,63.8,53.5,2024,3.15,3.29,9.4,69.0,5200.0,31,37,7.349
148.0,93.7,157.3,63.8,50.6,1967,2.97,3.23,9.4,68.0,5500.0,31,38,6.229
91.0,95.7,166.3,64.4,52.8,2275,3.27,3.35,22.5,56.0,4500.0,38,47,7.787999999999999
103.0,104.3,188.8,67.2,56.2,2912,3.78,3.15,9.5,114.0,5400.0,23,28,12.94
148.0,93.7,157.3,63.8,50.6,1989,2.97,3.23,9.4,68.0,5500.0,31,38,6.692
154.0,93.7,167.3,63.8,50.8,2191,2.97,3.23,9.4,68.0,5500.0,31,38,7.609
104.0,99.1,186.6,66.5,56.1,2695,3.54,3.07,9.3,110.0,5250.0,21,28,12.17
150.0,99.1,186.6,66.5,56.1,2658,3.54,3.07,9.31,110.0,5250.0,21,28,11.85
93.0,110.0,190.9,70.3,56.5,3515,3.58,3.64,21.5,123.0,4350.0,22,25,25.552
