housingMedianAge,totalRooms,totalBedrooms,population,households,medianIncome,medianHouseValue
34.0,1058.0,230.0,1043.0,229.0,3.0536,13.75
34.0,2533.0,862.0,2011.0,778.0,2.1199,16.04
18.0,2281.0,520.0,1425.0,465.0,1.7388,5.44
49.0,1141.0,239.0,505.0,184.0,3.7143,14.88
17.0,5805.0,1097.0,1919.0,932.0,3.5352,35.78
45.0,1750.0,371.0,847.0,354.0,1.7062,7.74
27.0,3440.0,787.0,2085.0,748.0,2.5896,10.47
18.0,2377.0,414.0,1359.0,424.0,4.4,7.93
17.0,2479.0,390.0,1219.0,363.0,4.6417,12.57
16.0,590.0,130.0,178.0,121.0,4.8611,18.68
47.0,3457.0,622.0,1700.0,579.0,3.5164,22.65
32.0,1766.0,322.0,876.0,330.0,4.0417,23.45
14.0,4236.0,701.0,1833.0,663.0,5.6399,30.06
15.0,2892.0,496.0,1634.0,501.0,4.4934,8.8
39.0,1573.0,418.0,1258.0,359.0,1.4896,6.95
25.0,3076.0,856.0,2868.0,752.0,2.6619,11.76
16.0,1868.0,443.0,1323.0,436.0,2.9559,16.32
39.0,698.0,232.0,1046.0,228.0,2.2356,11.95
52.0,1868.0,316.0,947.0,328.0,4.2415,14.01
9.0,1122.0,290.0,662.0,284.0,2.0536,5.5
17.0,2438.0,598.0,1563.0,538.0,1.5449,6.25
6.0,1487.0,362.0,810.0,322.0,3.625,13.57
38.0,523.0,80.0,226.0,72.0,5.5693,15.31
25.0,1756.0,301.0,722.0,312.0,4.5625,16.23
36.0,1952.0,387.0,1156.0,392.0,4.185,20.92
26.0,2353.0,389.0,1420.0,389.0,3.87,12.58
17.0,3538.0,726.0,1603.0,629.0,2.9449,9.56
41.0,885.0,285.0,562.0,268.0,3.1992,30.38
14.0,1206.0,142.0,572.0,149.0,8.847000000000001,38.87
31.0,2846.0,727.0,2120.0,672.0,2.7226,25.42
8.0,4195.0,725.0,291.0,115.0,3.4792,18.08
40.0,1351.0,330.0,701.0,297.0,3.32,29.29
3.0,39320.0,6210.0,16305.0,5358.0,4.9516,15.37
19.0,3518.0,658.0,2091.0,610.0,3.2614,16.88
33.0,3177.0,713.0,1845.0,612.0,4.008,19.11
28.0,1585.0,412.0,1362.0,424.0,1.6685,11.41
11.0,1472.0,261.0,1012.0,285.0,4.21,17.56
44.0,2539.0,755.0,1382.0,713.0,2.537,17.5
17.0,3425.0,827.0,2469.0,758.0,0.9393,8.89
22.0,1230.0,200.0,673.0,195.0,6.2708,25.14
10.0,2562.0,460.0,1478.0,433.0,4.0625,9.62
52.0,576.0,146.0,273.0,127.0,2.01,9.43
38.0,1595.0,314.0,1181.0,327.0,3.4,15.55
15.0,2246.0,456.0,1190.0,403.0,2.0294,7.04
40.0,1126.0,220.0,667.0,235.0,3.3158,12.59
25.0,3040.0,831.0,1580.0,735.0,2.3182,18.21
41.0,2237.0,597.0,938.0,523.0,4.7105,50.0001
28.0,826.0,258.0,979.0,245.0,1.7172,5.88
17.0,1851.0,346.0,770.0,310.0,5.6093,24.44
52.0,1898.0,421.0,1102.0,397.0,1.808,10.55
5.0,2185.0,488.0,1379.0,458.0,3.7917,10.3
31.0,1448.0,244.0,607.0,259.0,8.1513,50.0001
35.0,1873.0,351.0,945.0,333.0,5.5184,27.48
32.0,2590.0,607.0,1132.0,555.0,4.2333,35.8
36.0,5456.0,926.0,2761.0,916.0,4.7755,28.07
35.0,2259.0,505.0,1561.0,509.0,3.3043,15.55
37.0,3507.0,569.0,1663.0,608.0,5.0863,44.03
35.0,517.0,108.0,391.0,107.0,4.0682,15.69
15.0,1371.0,306.0,1266.0,309.0,1.767,6.33
23.0,2887.0,540.0,1508.0,518.0,3.3452,21.76
52.0,1802.0,613.0,2382.0,587.0,1.8438,18.59
35.0,4448.0,906.0,2736.0,843.0,2.218,7.34
13.0,2578.0,551.0,1680.0,528.0,4.825,22.2
24.0,3422.0,596.0,1763.0,601.0,5.2039,30.13
35.0,1484.0,252.0,916.0,248.0,5.2657,19.14
25.0,2546.0,488.0,1338.0,487.0,3.2596,8.54
28.0,4667.0,875.0,2404.0,841.0,3.2325,8.9
35.0,2062.0,353.0,991.0,357.0,5.2897,23.04
39.0,2210.0,483.0,1023.0,450.0,4.5833,34.24
28.0,4035.0,641.0,1881.0,659.0,5.4607,19.23
12.0,3349.0,642.0,2029.0,619.0,2.9647,8.88
24.0,2121.0,296.0,913.0,302.0,5.9328,25.59
49.0,1350.0,368.0,707.0,350.0,2.8846,21.13
31.0,1146.0,289.0,1163.0,258.0,2.2083,18.56
24.0,2991.0,500.0,1437.0,453.0,5.4286,27.34
10.0,2198.0,368.0,1645.0,350.0,4.5547,16.07
23.0,1262.0,294.0,5176.0,275.0,2.5625,15.33
19.0,1867.0,361.0,758.0,321.0,2.8929,9.81
22.0,4057.0,624.0,2204.0,643.0,5.8527,24.1
6.0,6068.0,1137.0,3094.0,947.0,3.5167,13.09
