MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,logPRP
70,4000,12000,8,6,8,4.31748811353631
480,96,512,0,1,1,1.791759469228055
900,2000,4000,0,3,6,3.610917912644224
26,16000,32000,64,8,24,6.142037405587356
50,2620,10480,30,12,24,4.143134726391533
57,4000,16000,1,6,12,4.8828019225863715
105,2000,8000,16,4,14,4.060443010546419
700,256,2000,0,1,1,3.1780538303479458
400,1000,3000,0,1,2,3.6375861597263857
92,2000,8000,4,1,6,3.912023005428147
110,3100,6200,0,6,64,4.330733340286331
110,5000,5000,142,8,64,4.787491742782046
116,2000,8000,32,5,28,4.248495242049359
75,2000,8000,8,3,24,4.127134385045092
200,1000,2000,0,1,2,3.218875824868201
133,1000,12000,9,3,12,4.276666119016055
225,2000,4000,8,3,6,3.688879454113936
29,8000,32000,32,8,32,5.147494476813453
330,1000,4000,0,3,6,3.0910424533583165
38,4000,8000,32,16,32,3.9318256327243257
75,2000,16000,128,1,38,5.556828061699537
700,384,8000,0,1,1,3.1780538303479458
350,64,64,0,1,4,2.302585092994046
25,2000,12000,8,1,4,3.8918202981106265
50,4000,16000,65,1,8,4.927253685157205
140,2000,4000,8,1,20,3.555348061489413
160,1000,4000,8,1,14,3.6375861597263857
200,512,16000,0,4,32,3.555348061489413
50,2000,32000,112,52,104,5.726847747587197
160,512,2000,2,3,8,3.4657359027997265
59,8000,16000,64,12,24,5.236441962829949
50,500,2000,8,1,4,2.9957322735539913
480,512,8000,32,0,0,4.204692619390967
50,2000,32000,48,26,52,5.337538079701318
175,256,2000,0,3,24,3.0910424533583165
60,2000,16000,64,5,8,4.30406509320417
400,4000,8000,0,1,1,3.4657359027997265
112,1000,1000,0,1,4,2.079441541679836
35,8000,32000,64,8,24,5.913503005638269
100,1000,8000,0,2,6,2.772588722239781
180,768,12000,6,1,31,4.430816798843313
100,1000,8000,24,2,6,3.258096538021482
1100,768,2000,0,1,1,2.5649493574615367
180,512,4000,0,1,3,3.0445224377234235
320,256,6000,0,1,6,3.49650756146648
320,256,3000,4,1,3,3.2958368660043287
600,768,2000,0,1,1,2.772588722239781
810,512,512,8,1,1,2.8903717578961645
140,2000,8000,32,1,54,4.189654742026425
900,1000,1000,0,1,2,2.3978952727983707
140,2000,4000,8,1,20,3.0910424533583165
1500,768,2000,0,0,0,2.8903717578961645
300,384,12000,6,1,24,3.970291913552122
105,2000,6000,16,6,16,3.49650756146648
98,1000,8000,32,2,8,3.828641396489095
17,4000,16000,32,6,12,4.890349128221754
59,4000,12000,32,6,12,4.727387818712341
330,1000,3000,0,2,4,2.772588722239781
900,1000,4000,8,1,2,3.0910424533583165
50,1000,4000,8,1,5,3.3672958299864737
50,2000,16000,8,3,6,3.951243718581428
56,4000,16000,0,1,8,3.828641396489095
140,2000,4000,0,3,6,3.3672958299864737
60,2000,8000,65,1,8,4.5217885770490405
56,4000,12000,0,1,8,3.737669618283368
800,256,8000,0,1,4,3.0910424533583165
50,2000,16000,24,1,6,4.248495242049359
250,1000,16000,1,1,8,3.912023005428147
40,8000,32000,64,8,24,5.6240175061873385
50,2000,16000,24,6,16,3.9889840465642745
92,2000,8000,32,1,6,4.0943445622220995
180,512,4000,0,1,3,2.6390573296152584
26,8000,32000,64,12,16,5.513428746164983
203,1000,2000,0,1,5,3.1780538303479458
200,2000,8000,64,1,5,3.7135720667043084
1100,512,1500,0,1,1,1.9459101490553128
50,2000,16000,8,3,5,3.688879454113936
23,16000,32000,64,16,32,5.9053618480545715
23,32000,64000,128,32,64,7.042286171939742
300,1000,4000,8,3,64,3.6375861597263857
25,1310,2620,131,12,24,5.908082938168932
40,8000,16000,32,8,16,5.365976015021852
105,2000,4000,8,3,19,3.4657359027997265
143,1500,6300,0,5,32,3.4011973816621555
800,256,8000,0,1,4,2.772588722239781
133,1000,8000,9,3,12,4.276666119016055
26,8000,32000,128,24,32,6.003887067106539
143,3100,6200,0,5,20,3.49650756146648
115,512,6000,16,1,6,3.80666248977032
480,1000,4000,0,0,0,3.80666248977032
140,2000,32000,32,1,54,5.2417470150596435
29,8000,16000,32,8,16,4.8828019225863715
23,16000,64000,64,16,32,6.455198563340121
180,2000,16000,16,1,6,4.189654742026425
140,2000,32000,32,1,54,4.948759890378168
50,2000,16000,24,1,6,4.382026634673881
50,2000,16000,12,3,16,3.80666248977032
810,1000,5000,0,1,1,2.9957322735539913
26,8000,32000,64,8,32,5.762051382780178
50,2000,16000,24,6,16,4.174387269895637
143,512,5000,0,7,32,3.332204510175204
320,512,5000,4,1,5,4.343805421853683
220,1000,8000,16,1,2,4.262679877041316
115,2000,8000,16,1,3,3.912023005428147
38,8000,24000,160,4,8,4.941642422609304
75,2000,8000,64,1,38,4.969813299576002
180,262,4000,0,1,3,2.4849066497880004
38,4000,16000,128,16,32,5.356586274672011
300,192,768,6,6,24,3.58351893845611
60,4000,16000,32,1,6,4.4543472962535064
150,512,4000,0,8,128,3.4011973816621555
330,1000,2000,0,1,2,2.772588722239781
124,1000,8000,0,1,8,3.737669618283368
125,512,1000,0,8,20,3.58351893845611
110,1000,4000,16,1,2,3.258096538021482
