miles,average_fuel_price,fuel_surcharge,cross_ratio,ltr_start_state,ltr_end_state,team_driver,new_year,holiday,shipment_price
603,2.7289999999999996,132.5595,0.996145822,8.17,3.61,1,0,1,19.5
601,2.9130000000000003,153.05466669999998,0.992841855,9.35,6.54,1,0,0,19.5
493,2.7939999999999996,116.84100000000001,1.006066407,28.58,12.45,1,0,0,14.0
602,3.0610000000000004,167.657,0.994493838,8.76,7.98,1,0,1,18.5
603,2.7289999999999996,132.5595,0.996145822,8.17,3.61,1,0,1,22.0
601,2.764,138.4303333,0.992841855,8.17,3.61,1,0,1,20.0
479,2.782,112.00616670000001,0.97749657,28.58,12.45,0,1,1,13.5
447,2.441,75.0215,1.0278710229999999,4.63,0.98,0,0,0,13.5
456,2.7939999999999996,108.072,1.048566412,28.58,12.45,0,0,1,14.25
601,2.966,156.5605,0.992841855,10.31,3.79,1,0,1,19.5
601,2.8939999999999997,149.4486667,0.992841855,9.41,4.91,1,0,0,18.5
489,2.7880000000000003,114.915,0.997903597,28.58,12.45,1,0,1,13.5
465,2.7939999999999996,110.205,1.069261802,28.58,12.45,0,0,0,14.25
479,2.8539999999999996,117.5945,0.97749657,9.35,6.54,0,0,1,14.0
602,2.782,140.76766669999998,0.994493838,28.58,12.45,1,1,1,23.0
488,2.7760000000000002,105.896,0.99585658,8.09,1.14,1,0,0,13.5
602,2.906,151.20233330000002,0.994493838,9.41,4.91,1,0,0,19.5
601,2.898,151.2516667,0.992841855,8.13,12.4,1,0,1,18.5
492,2.42,81.262,1.004019339,4.63,0.98,1,0,0,14.0
492,2.5269999999999997,90.036,1.004019339,5.55,1.35,1,0,0,14.0
456,2.7119999999999997,96.976,1.048566412,9.3,1.92,0,0,0,14.25
465,2.714,99.7425,1.069261802,9.3,1.92,0,0,0,14.25
601,2.715,129.91616670000002,0.992841855,8.17,3.61,1,0,1,20.0
602,2.8710000000000004,148.092,0.994493838,9.41,4.91,1,0,0,19.5
479,2.938,123.103,0.97749657,8.13,12.4,0,0,1,15.0
602,2.8539999999999996,147.791,0.994493838,9.35,6.54,1,0,1,20.0
602,2.938,154.714,0.994493838,8.13,12.4,1,0,1,18.5
454,2.938,116.678,1.043967437,8.13,12.4,0,0,1,15.5
602,3.042,166.2523333,0.994493838,8.76,7.98,1,0,1,19.5
602,2.858,147.69066669999998,0.994493838,9.41,4.91,1,0,0,19.0
601,2.7489999999999997,129.31516670000002,0.992841855,8.09,1.14,1,0,0,19.5
479,2.7939999999999996,113.84233329999999,0.97749657,28.58,12.45,0,0,0,15.0
448,2.782,104.7573333,1.03017051,28.58,12.45,0,1,1,16.5
295,2.7939999999999996,70.11166667,1.004577694,28.58,12.45,0,0,0,8.5
447,2.715,96.6265,1.0278710229999999,8.17,3.61,0,0,1,13.5
602,3.1319999999999997,174.4796667,0.994493838,8.76,7.98,1,0,1,14.0
464,2.5140000000000002,83.59733333,1.066962314,5.55,1.35,0,0,0,14.25
603,2.7289999999999996,132.5595,0.996145822,8.17,3.61,1,0,1,19.5
479,3.028,130.3678333,0.97749657,8.76,7.98,0,0,1,15.0
456,2.748,98.19200000000001,1.048566412,9.3,1.92,0,0,1,14.25
479,3.028,130.3678333,0.97749657,8.76,7.98,0,0,0,15.0
493,3.1319999999999997,142.8878333,1.004955205,8.76,7.98,1,0,1,15.5
447,2.898,112.495,1.0278710229999999,8.13,12.4,0,0,0,14.0
479,2.8939999999999997,119.11133329999998,0.97749657,9.41,4.91,0,0,0,15.0
283,2.42,46.74216667,0.9637135170000001,4.63,0.98,0,0,0,9.0
602,2.782,140.76766669999998,0.994493838,9.35,6.54,1,1,1,22.5
479,2.7489999999999997,103.0648333,0.97749657,8.09,1.14,0,0,0,14.0
454,2.998,121.3693333,1.043967437,8.13,12.4,0,0,1,14.25
447,2.968,116.965,1.0278710229999999,10.31,3.79,0,0,1,13.5
447,2.887,111.45200000000001,1.0278710229999999,9.35,6.54,0,0,0,14.5
602,3.1319999999999997,174.4796667,0.994493838,8.76,7.98,1,0,1,18.0
601,2.714,128.9145,0.992841855,9.3,1.92,1,0,0,19.5
479,2.7939999999999996,113.84233329999999,0.977490373,28.58,12.45,0,0,0,13.5
602,2.782,140.76766669999998,0.994493838,28.58,12.45,1,1,1,19.5
492,2.998,131.528,1.004025705,8.13,12.4,1,0,1,15.5
602,2.938,154.714,0.994493838,8.13,12.4,1,0,1,18.5
454,3.1630000000000003,134.45966669999999,1.043967437,8.76,7.98,0,0,1,13.5
294,2.7489999999999997,63.25899999999999,1.001172346,8.09,1.14,0,0,0,8.5
521,2.9389999999999996,132.5945,1.050154783,10.31,3.79,1,0,1,16.25
479,2.7880000000000003,112.565,0.97749657,28.58,12.45,0,0,0,13.25
601,2.887,149.8493333,0.992841855,9.35,6.54,1,0,0,19.0
479,2.929,121.74583329999999,0.97749657,9.35,6.54,0,0,0,13.5
602,2.8710000000000004,148.092,0.994493838,9.41,4.91,1,0,0,19.0
602,2.7939999999999996,142.674,0.994493838,28.58,12.45,1,0,0,18.0
601,2.725,126.00966670000001,0.992841855,8.09,1.14,1,0,1,25.0
489,2.7939999999999996,115.89299999999999,0.997903597,28.58,12.45,1,0,1,13.5
479,2.782,112.00616670000001,0.97749657,9.35,6.54,0,0,1,13.5
456,2.968,119.32,1.048566412,10.31,3.79,0,0,0,14.5
456,2.795,107.54,1.048566412,8.17,3.61,0,0,1,14.25
294,2.74,63.111999999999995,1.001172346,9.3,1.92,0,0,1,8.5
448,2.998,119.76533329999998,1.03017051,8.13,12.4,0,0,1,14.0
489,2.7880000000000003,114.915,0.997903597,28.58,12.45,1,0,1,15.0
456,2.74,97.88799999999999,1.048566412,9.3,1.92,0,0,1,14.25
479,3.042,132.2838333,0.97749657,8.76,7.98,0,0,1,15.0
601,2.988,158.8643333,0.992841855,10.31,3.79,1,0,1,19.5
447,2.396,71.8925,1.0278710229999999,4.63,0.98,0,0,1,19.0
456,2.714,97.81200000000001,1.048566412,9.3,1.92,0,0,0,14.25
488,2.966,127.124,0.99585658,10.31,3.79,1,0,1,15.0
492,2.396,79.13,1.004019339,4.63,0.98,1,0,1,14.0
456,2.7760000000000002,98.95200000000001,1.048566412,8.09,1.14,0,0,0,14.25
