lot,bdms,fb,sty,drv,rec,ffin,ghw,ca,gar,reg,sell
3640.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.5
2145.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.95
6000.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.5
3620.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
4600.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0
6321.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,6.8
7085.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,7.47
5076.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3
4240.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0
3960.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,9.25
4040.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.75
8250.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,5.39
3450.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5
1700.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7
6100.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,7.3
3650.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
4995.0,4.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.99
8050.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,12.35
5320.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.95
4320.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.7
3934.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8
8250.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,5.99
6800.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,8.6
7482.0,3.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,11.49
4960.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2
7800.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,13.2
3570.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.2
6000.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,10.2
4340.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8
9667.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,6.7
3480.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.35
4000.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,9.45
4350.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.95
4000.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9
5700.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,9.5
3745.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.65
2970.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
11460.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,8.39
4040.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.89
3480.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.7
5960.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,11.7
6550.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,13.3
4160.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,6.6
4815.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.9
12900.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0
3640.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1
2145.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.7
